Организация;Год;Фамилия и инициалы лица, чьи сведения размещаются;Владелец;Должность;вид объекта;вид собственности;площадь (кв. м);страна расположения;вид объекта;площадь (кв. м);страна расположения;Транспортные средства (вид, марка);Декларированный годовой доход <1> (руб.);Сведения об источниках получения средств, за счет которых совершена сделка <2> (вид приобретенного имущества, источники)
"Избирательная комиссия Республики Коми";"2016";"Митюшев Дмитрий Ильич";"";"Председатель Избирательной комиссии Республики Коми";"Квартира";"Индивидуальная";"79.5";"Россия";"-";"-";"-";"Автомобиль легковой, Шевроле-Нива";"4880388.7300000004";"-"
"Избирательная комиссия Республики Коми";"2016";"Митюшев Дмитрий Ильич";"";"";"Квартира";"Индивидуальная";"59.7";"Россия";"";"";"";"";"";""
"Избирательная комиссия Республики Коми";"2016";"Митюшев Дмитрий Ильич";"Супруга";"";"-";"-";"-";"-";"Квартира";"79.5";"Россия";"-";"3454217.88";"-"
"Избирательная комиссия Республики Коми";"2016";"Митюшев Дмитрий Ильич";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Квартира";"79.5";"Россия";"-";"";"-"
"Избирательная комиссия Республики Коми";"2016";"Баскакова Елена Михайловна";"";"Заместитель председателя Избирательной комиссии Республики Коми";"Квартира";"Совместная";"67.7";"Россия";"Нет";"Нет";"Нет";"Нет";"2996935.62";"-"
"Избирательная комиссия Республики Коми";"2016";"Баскакова Елена Михайловна";"";"";"Квартира";"Индивидуальная";"38.9";"Россия";"";"";"";"";"";""
"Избирательная комиссия Республики Коми";"2016";"Баскакова Елена Михайловна";"Супруг";"";"Земельный участок";"Общая долевая (1/3)";"3627";"Россия";"Квартира";"67.7";"Россия";"1. Автомобиль легковой, Форд Таурус 3.OLX";"3050119.48";"-"
"Избирательная комиссия Республики Коми";"2016";"Баскакова Елена Михайловна";"Супруг";"";"Земельный участок";"Индивидуальная";"1050";"Россия";"";"";"";"2. Автомобиль легковой, ФОЛЬКСВАГЕН Туарег";"";""
"Избирательная комиссия Республики Коми";"2016";"Баскакова Елена Михайловна";"Супруг";"";"Индивидуальный жилой дом";"Индивидуальная";"66.5";"Россия";"";"";"";"";"";""
"Избирательная комиссия Республики Коми";"2016";"Баскакова Елена Михайловна";"Супруг";"";"Гараж";"Индивидуальная";"27.7";"Россия";"";"";"";"";"";""
"Избирательная комиссия Республики Коми";"2016";"Баскакова Елена Михайловна";"Супруг";"";"Хозпостройки";"Общая долевая (1/3)";"202";"Россия";"";"";"";"";"";""
"Избирательная комиссия Республики Коми";"2016";"Баскакова Елена Михайловна";"Супруг";"";"Склад-ангар";"Общая долевая (1/3)";"363";"Россия";"";"";"";"";"";""
"Избирательная комиссия Республики Коми";"2016";"Баскакова Елена Михайловна";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Квартира";"67.7";"Россия";"-";"25039.58";"-"
"Избирательная комиссия Республики Коми";"2016";"Сердитова Лариса Михайловна";"";"Секретарь Избирательной комиссии Республики Коми";"Земельный участок";"Индивидуальная";"480";"Россия";"-";"-";"-";"-";"3441024.37";"-"
